dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,epoch,character
-0.45255288,-0.30761492,-0.457733,-0.71811575,-0.10928761,-0.5339456,-0.2842105,1.4549885,-0.41333023,0.5565144,0, 
-0.19110866,0.35454857,-0.4949688,-0.26985183,-1.0791758,-0.18571234,0.6174168,0.8340733,0.74401444,0.8309089,0,e
1.0762837,-0.06622858,0.13152696,0.1680933,0.056165487,0.24557668,0.9534983,0.3553398,0.21209355,-0.3377707,0,t
-0.18056846,-0.13935867,0.67866015,0.6114326,-0.64571714,-0.22184329,-1.1135088,-0.5664951,-1.0422429,0.017037384,0,a
-0.7127433,-0.582629,0.6425614,0.371489,-0.73557884,0.09829187,-0.72052866,-0.9598655,-0.31735173,-0.7139312,0,o
0.1820782,1.5743295,0.21148801,0.76643485,-0.5260994,-0.5510504,-0.0029097716,0.20277847,-0.20400356,-0.43931967,0,n
0.31101483,0.10821957,-0.17789125,-1.0584182,0.4249182,-0.8390231,0.7264049,-0.4157392,0.42325583,-0.98767406,0,i
-0.6041804,0.06571992,0.56579304,-1.0319469,0.5675474,0.24770784,0.009098308,-0.7180841,1.1070539,0.34762743,0,r
0.5004448,-0.23156245,0.48174757,0.97106427,0.18718407,-0.3478684,-0.17507431,-1.3725748,0.07307112,0.6669966,0,s
0.7767402,-0.07435284,-1.1742697,0.3908662,0.46410745,-1.2652595,0.13322191,0.053338137,-0.1296876,-0.07596918,0,h
-0.39745238,-1.1136453,-0.18937686,-0.25467274,0.59000176,-1.0011386,-0.48398605,-0.43541414,0.6887564,0.5025036,0,l
-1.1703111,-0.6834384,0.87584317,-0.15848717,0.670535,-0.17679697,0.34153596,-0.2682022,0.40379265,-0.7338679,0,d
-0.6003932,-0.42691085,0.9321367,0.56261593,-0.6821877,0.42270344,0.3642705,-0.9131871,-0.1255521,0.8033893,0,c
0.8040568,1.0824748,0.116334796,0.9708221,0.5854728,0.5638845,-0.2704592,-0.32928008,0.5884861,0.19255584,0,u
0.73903346,-0.10095978,-0.15608397,0.039246053,-0.05516479,-0.9660107,-1.3949188,0.58275646,0.29852083,0.32710224,0,m
0.12949371,-0.79238266,0.94246894,0.17155908,1.0325246,0.35530612,-0.96551794,-0.42664224,-0.11806648,-0.3422614,0,f
0.20396091,-0.2531606,-0.9444157,0.53571194,-0.23035769,1.2443103,0.44506854,0.90577966,0.029754363,-0.30760327,0,p
-0.0117010595,-0.6552128,-0.11296389,0.8190092,-0.06793796,0.3571045,-1.1343782,-0.22569205,-1.1039071,0.44555718,0,g
0.7551316,0.5127166,-0.15025492,-1.5089564,0.28601927,0.26368836,-0.43868512,-0.6875192,-0.16775662,-0.15087637,0,y
-1.4134356,-0.5965821,0.3031981,0.037907433,-0.848429,0.05783105,-0.59120065,-0.64991677,0.18689029,0.15135422,0,w
0.0065581375,-0.3332531,-0.79452336,-0.20191783,0.31177154,1.2366829,-0.12101736,0.3416526,0.047467157,-1.2069178,0,b
0.6704012,-0.4305679,-0.014809205,-0.6258873,0.3790761,-0.8381903,-0.36810598,-0.38723776,1.3537135,0.09466873,0,.
-0.17931432,-0.5188915,0.84548235,0.23438022,-0.453099,0.048767015,0.43914104,0.43643105,0.2658382,-1.505709,0,","
-0.58636594,-0.0016702188,-0.45996785,-0.4273219,-0.834967,-0.7639831,-1.1724936,-0.7316542,-0.12501667,-0.23551975,0,v
-0.00842906,-0.0046834955,0.72970843,-0.5579584,0.21505688,0.054066267,0.94431007,-0.025463147,0.0889654,-1.485482,0,k
0.6771926,0.73459,-0.52879405,-0.82870215,0.52212834,-0.092599496,0.29728827,-1.1308198,-0.39755645,0.47858036,0,'
0.8465077,-0.2776805,1.0724299,0.046741825,0.12737712,-0.9230079,-0.5938948,-0.69851243,0.5491709,0.208901,0,T
-1.2376325,-0.6027287,-0.14371751,0.8407957,-0.47674957,0.49140662,0.09806417,-0.22660954,-0.7444283,0.5417365,0,-
-0.23051247,-0.44081506,-0.68722284,0.20011905,-1.0283991,-0.69856656,-0.301028,0.9016211,-0.47645703,-0.7510478,0,S
0.12432829,0.36740783,-0.11796294,0.41967404,-0.7898569,-0.30597296,-0.5222036,-1.5114981,-0.5974397,-0.1666177,0,M
-0.041408796,0.68965054,-0.3435411,0.81286114,-0.6314378,0.6913218,0.80037326,0.8749309,-0.064582765,-0.6760112,0,`
-0.69099474,0.46018404,-0.9586273,-0.7474295,-0.6611484,0.7064301,-0.2246113,0.06932289,-0.90569276,-0.14643818,0,C
-0.3211941,-0.012560136,-0.33226755,0.17690794,-0.8101295,0.19309577,1.5570829,0.27412757,-0.7448563,-0.08317879,0,A
-0.9555097,-0.053604487,-0.8310892,0.05791646,0.4307166,-0.0039058859,-0.90256286,0.59276205,0.7140096,-0.727142,0,1
-0.53640014,1.1242378,-0.4897266,0.536263,0.5785312,-0.53374654,-0.22587167,-0.9152463,-0.56151754,0.3120493,0,0
0.2726441,1.2018036,0.33515918,1.1450552,0.15322448,0.7516397,0.011444614,0.3015221,-0.016282953,-0.6148968,0,B
-0.2199597,-0.8328302,0.25720194,0.1358798,-0.7919237,0.6471042,-0.7647565,-0.43421984,0.49030948,1.0553224,0,H
-0.12947735,0.24125324,0.20247446,1.3697636,-0.023011444,-0.63289845,-0.46210274,-0.26508734,-0.41491234,1.0727218,0,P
1.0961646,0.738246,0.79979163,0.06578587,0.5388798,-0.7145524,-0.18116827,-0.03986935,0.87827057,-0.051716644,0,x
0.42829093,0.070233755,-0.83727515,-0.5010168,-1.0770782,0.67229736,-0.76660645,0.7399444,-0.23287967,-0.24097341,0,I
-0.19958453,-0.15594375,1.1972724,-0.43208957,-0.5663093,0.26803222,-0.65567636,-0.80343187,0.48721758,-0.78124416,0,W
-0.97996616,-0.91619045,0.8249373,0.44055465,-0.044103656,-0.5308748,-0.2855329,-0.19405283,0.8214308,0.49793965,0,D
-0.5047969,1.243198,-0.34149474,-0.15886459,1.0458775,0.17908761,0.8781497,0.18831496,-0.28361744,0.21166296,0,R
0.26187828,0.61767524,0.7237915,-0.32550108,0.7230581,-0.28638226,0.14857242,-0.96935165,-0.56767064,1.0155185,0,F
-0.41104093,0.3262562,-0.665375,-0.092980415,0.5381575,1.1446552,0.9151452,-0.32457167,0.121552415,0.8460325,0,L
-0.8089845,-0.24802792,0.6772401,0.77447134,-0.5114747,-0.28639323,0.8822598,0.53326637,-0.16026741,-0.7973962,0,G
0.35764182,-0.041281413,0.767496,-0.73590755,-0.31485173,1.3102071,0.09908729,0.5228092,0.35199758,0.71899486,0,J
